attack,confidence,max_iter,batch_size,epsilon,epsilon_step,delta,norm,theta,gamma,eta,max_eval,init_eval,init_size,num_trial,max_trasl,max_rot
bim,,,500,0.1,0.1,,,,,,,,,,,
bim,,,500,0.1,0.3,,,,,,,,,,,
bim,,,500,0.1,0.5,,,,,,,,,,,
bim,,,500,0.1,0.7,,,,,,,,,,,
bim,,,500,0.1,0.9,,,,,,,,,,,
bim,,,500,0.1,0.01,,,,,,,,,,,
bim,,,500,0.1,0.03,,,,,,,,,,,
bim,,,500,0.1,0.05,,,,,,,,,,,
bim,,,500,0.1,0.07,,,,,,,,,,,
bim,,,500,0.1,0.09,,,,,,,,,,,
bim,,,500,0.1,0.001,,,,,,,,,,,
bim,,,500,0.1,0.003,,,,,,,,,,,
bim,,,500,0.1,0.005,,,,,,,,,,,
bim,,,500,0.1,0.007,,,,,,,,,,,
bim,,,500,0.1,0.009,,,,,,,,,,,
bim,,,500,0.1,0.1,,,,,,,,,,,
bim,,,500,0.01,0.1,,,,,,,,,,,
bim,,,500,0.03,0.1,,,,,,,,,,,
bim,,,500,0.05,0.1,,,,,,,,,,,
bim,,,500,0.07,0.1,,,,,,,,,,,
bim,,,500,0.09,0.1,,,,,,,,,,,
bim,,,500,0.001,0.1,,,,,,,,,,,
bim,,,500,0.003,0.1,,,,,,,,,,,
bim,,,500,0.005,0.1,,,,,,,,,,,
bim,,,500,0.007,0.1,,,,,,,,,,,
bim,,,500,0.009,0.1,,,,,,,,,,,
fgm,,,500,0.01,,,,,,,,,,,,
fgm,,,500,0.03,,,,,,,,,,,,
fgm,,,500,0.05,,,,,,,,,,,,
fgm,,,500,0.07,,,,,,,,,,,,
fgm,,,500,0.09,,,,,,,,,,,,
fgm,,,500,0.001,,,,,,,,,,,,
fgm,,,500,0.003,,,,,,,,,,,,
fgm,,,500,0.005,,,,,,,,,,,,
fgm,,,500,0.007,,,,,,,,,,,,
fgm,,,500,0.009,,,,,,,,,,,,
deep,,100.0,500,10.0,,,,,,,,,,,,
deep,,100.0,500,8.0,,,,,,,,,,,,
deep,,100.0,500,6.0,,,,,,,,,,,,
deep,,100.0,500,4.0,,,,,,,,,,,,
deep,,100.0,500,2.0,,,,,,,,,,,,
deep,,100.0,500,0.0,,,,,,,,,,,,
deep,,10.0,500,5.0,,,,,,,,,,,,
deep,,30.0,500,5.0,,,,,,,,,,,,
deep,,50.0,500,5.0,,,,,,,,,,,,
deep,,70.0,500,5.0,,,,,,,,,,,,
deep,,90.0,500,5.0,,,,,,,,,,,,
deep,,100.0,500,5.0,,,,,,,,,,,,
deep,,150.0,500,5.0,,,,,,,,,,,,
deep,,200.0,500,5.0,,,,,,,,,,,,
deep,,300.0,500,5.0,,,,,,,,,,,,
