attack,confidence,max_iter,batch_size,epsilon,epsilon_step,delta,norm,theta,gamma,eta,max_eval,init_eval,init_size,num_trial,max_trasl,max_rot
boundary,,1000,500,0.7,,0.01,,,,,,,,25,,
boundary,,500,500,0.9,,0.01,,,,,,,,25,,
boundary,,5000,500,1,,0.01,,,,,,,,25,,
boundary,,5000,500,3,,0.01,,,,,,,,25,,
boundary,,5000,500,5,,0.01,,,,,,,,25,,
boundary,,5000,500,7,,0.01,,,,,,,,25,,
boundary,,5000,500,9,,0.01,,,,,,,,25,,
boundary,,5000,500,0.01,,0.01,,,,,,,,25,,
boundary,,5000,500,0.01,,0.03,,,,,,,,25,,
boundary,,5000,500,0.02,,0.05,,,,,,,,25,,
boundary,,5000,500,0.02,,0.07,,,,,,,,25,,
boundary,,5000,500,0.03,,0.09,,,,,,,,25,,
boundary,,5000,500,0.03,,0.1,,,,,,,,25,,
boundary,,5000,500,0.04,,0.3,,,,,,,,25,,
boundary,,5000,500,0.04,,0.5,,,,,,,,25,,
boundary,,5000,500,0.05,,0.7,,,,,,,,25,,
boundary,,5000,500,0.05,,0.9,,,,,,,,25,,
boundary,,5000,500,0.06,,1,,,,,,,,25,,
boundary,,5000,500,0.06,,3,,,,,,,,25,,
boundary,,5000,500,0.07,,5,,,,,,,,25,,
boundary,,5000,500,0.07,,7,,,,,,,,25,,
boundary,,5000,500,0.08,,9,,,,,,,,25,,
