attack,confidence,max_iter,batch_size,epsilon,epsilon_step,delta,norm,theta,gamma,eta,max_eval,init_eval,init_size,num_trial,max_trasl,max_rot
cwinf,50,100.0,500,,,,,,,,,,,,,
cwinf,40,100.0,500,,,,,,,,,,,,,
cwinf,30,100.0,500,,,,,,,,,,,,,
cwinf,20,100.0,500,,,,,,,,,,,,,
cwinf,15,100.0,500,,,,,,,,,,,,,
cwinf,10,100.0,500,,,,,,,,,,,,,
cwinf,5,100.0,500,,,,,,,,,,,,,
cwinf,1,100.0,500,,,,,,,,,,,,,
cwinf,10,10,500,,,,,,,,,,,,,
cwinf,10,30,500,,,,,,,,,,,,,
cwinf,10,50,500,,,,,,,,,,,,,
cwinf,10,60,500,,,,,,,,,,,,,
cwinf,10,80,500,,,,,,,,,,,,,
cwinf,10,200,500,,,,,,,,,,,,,
cwinf,10,500,500,,,,,,,,,,,,,
cwinf,10,800,500,,,,,,,,,,,,,
cwinf,10,1000,500,,,,,,,,,,,,,
cwinf,1,10,500,,,,,,,,,,,,,
cwinf,1,30,500,,,,,,,,,,,,,
cwinf,1,50,500,,,,,,,,,,,,,
cwinf,1,60,500,,,,,,,,,,,,,
cwinf,1,80,500,,,,,,,,,,,,,
cwinf,1,200,500,,,,,,,,,,,,,
cwinf,1,500,500,,,,,,,,,,,,,
cwinf,1,800,500,,,,,,,,,,,,,
cwinf,1,1000,500,,,,,,,,,,,,,
cwinf,0.1,10,500,,,,,,,,,,,,,
cwinf,0.1,30,500,,,,,,,,,,,,,
cwinf,0.1,50,500,,,,,,,,,,,,,
cwinf,0.1,60,500,,,,,,,,,,,,,
cwinf,0.1,80,500,,,,,,,,,,,,,
cwinf,0.1,200,500,,,,,,,,,,,,,
cwinf,0.1,500,500,,,,,,,,,,,,,
cwinf,0.1,800,500,,,,,,,,,,,,,
cwinf,0.1,1000,500,,,,,,,,,,,,,
cwinf,0,30,500,,,,,,,,,,,,,
cwinf,0,50,500,,,,,,,,,,,,,
cwinf,0,60,500,,,,,,,,,,,,,
cwinf,0,80,500,,,,,,,,,,,,,
cwinf,0,200,500,,,,,,,,,,,,,
cwinf,0,500,500,,,,,,,,,,,,,
cwinf,0,800,500,,,,,,,,,,,,,
cwinf,0,1000,500,,,,,,,,,,,,,
