attack,confidence,max_iter,batch_size,epsilon,epsilon_step,delta,norm,theta,gamma,eta,max_eval,init_eval,init_size,sample_size,num_trial,max_trasl,max_rot
jsma,,,500,,,,,0.1,1.0,,,,,,,,
jsma,,,500,,,,,0.1,0.8,,,,,,,,
jsma,,,500,,,,,0.1,0.6,,,,,,,,
jsma,,,500,,,,,0.1,0.4,,,,,,,,
jsma,,,500,,,,,0.1,0.2,,,,,,,,
jsma,,,500,,,,,0.2,0.8,,,,,,,,
jsma,,,500,,,,,0.2,0.6,,,,,,,,
jsma,,,500,,,,,0.2,0.4,,,,,,,,
jsma,,,500,,,,,0.2,0.2,,,,,,,,
jsma,,,500,,,,,0.4,1.0,,,,,,,,
jsma,,,500,,,,,0.4,0.8,,,,,,,,
jsma,,,500,,,,,0.4,0.6,,,,,,,,
jsma,,,500,,,,,0.4,0.4,,,,,,,,
jsma,,,500,,,,,0.4,0.2,,,,,,,,
jsma,,,500,,,,,0.4,0.2,,,,,,,,
jsma,,,500,,,,,0.4,0.2,,,,,,,,
jsma,,,500,,,,,0.4,0.2,,,,,,,,
jsma,,,500,,,,,0.4,0.2,,,,,,,,
jsma,,,500,,,,,0.4,0.2,,,,,,,,
jsma,,,500,,,,,0.4,0.2,,,,,,,,
jsma,,,500,,,,,0.4,0.2,,,,,,,,
jsma,,,500,,,,,0.6,1.0,,,,,,,,
jsma,,,500,,,,,0.6,1.0,,,,,,,,
jsma,,,500,,,,,0.6,1.0,,,,,,,,
jsma,,,500,,,,,0.6,1.0,,,,,,,,
