attack,confidence,max_iter,batch_size,epsilon,epsilon_step,delta,norm,theta,gamma,eta,max_eval,init_eval,init_size,sample_size,num_trial,max_trasl,max_rot
jsma,,,500,,,,,0.6,1.0,,,,,,,,
jsma,,,500,,,,,0.6,0.8,,,,,,,,
jsma,,,500,,,,,0.6,0.6,,,,,,,,
jsma,,,500,,,,,0.6,0.4,,,,,,,,
jsma,,,500,,,,,0.6,0.4,,,,,,,,
jsma,,,500,,,,,0.6,0.2,,,,,,,,
jsma,,,500,,,,,0.8,1.0,,,,,,,,
jsma,,,500,,,,,0.8,0.8,,,,,,,,
jsma,,,500,,,,,0.8,0.6,,,,,,,,
jsma,,,500,,,,,0.8,0.4,,,,,,,,
jsma,,,500,,,,,0.8,0.2,,,,,,,,
jsma,,,500,,,,,1.0,1.0,,,,,,,,
jsma,,,500,,,,,1.0,0.8,,,,,,,,
jsma,,,500,,,,,1.0,0.6,,,,,,,,
jsma,,,500,,,,,1.0,0.4,,,,,,,,
jsma,,,500,,,,,1.0,0.2,,,,,,,,
jsma,,,500,,,,,5.0,1.0,,,,,,,,
jsma,,,500,,,,,5.0,0.8,,,,,,,,
jsma,,,500,,,,,5.0,0.6,,,,,,,,
jsma,,,500,,,,,5.0,0.4,,,,,,,,
jsma,,,500,,,,,5.0,0.2,,,,,,,,
jsma,,,500,,,,,0.01,1.0,,,,,,,,
jsma,,,500,,,,,0.01,0.8,,,,,,,,
jsma,,,500,,,,,0.01,0.6,,,,,,,,
jsma,,,500,,,,,0.01,0.4,,,,,,,,
jsma,,,500,,,,,0.01,0.2,,,,,,,,
jsma,,,500,,,,,1,1.0,,,,,,,,
jsma,,,500,,,,,1,0.8,,,,,,,,
jsma,,,500,,,,,1,0.6,,,,,,,,
jsma,,,500,,,,,1,0.4,,,,,,,,
jsma,,,500,,,,,1,0.2,,,,,,,,
