attack,confidence,max_iter,batch_size,epsilon,epsilon_step,delta,norm,theta,gamma,eta,max_eval,init_eval,init_size,num_trial,max_trasl,max_rot
newton,,100.0,500,,,,,,,0.1,,,,,,
newton,,100.0,500,,,,,,,0.03,,,,,,
newton,,100.0,500,,,,,,,0.05,,,,,,
newton,,100.0,500,,,,,,,0.07,,,,,,
newton,,100.0,500,,,,,,,0.09,,,,,,
newton,,100.0,500,,,,,,,0.001,,,,,,
newton,,100.0,500,,,,,,,0.003,,,,,,
newton,,100.0,500,,,,,,,0.005,,,,,,
newton,,100.0,500,,,,,,,0.007,,,,,,
newton,,100.0,500,,,,,,,0.009,,,,,,
newton,,10.0,500,,,,,,,0.01,,,,,,
newton,,30.0,500,,,,,,,0.01,,,,,,
newton,,50.0,500,,,,,,,0.01,,,,,,
newton,,70.0,500,,,,,,,0.01,,,,,,
newton,,90.0,500,,,,,,,0.01,,,,,,
newton,,100.0,500,,,,,,,0.01,,,,,,
newton,,150.0,500,,,,,,,0.01,,,,,,
newton,,200.0,500,,,,,,,0.01,,,,,,
newton,,300.0,500,,,,,,,0.01,,,,,,
