attack,confidence,max_iter,batch_size,epsilon,epsilon_step,delta,norm,theta,gamma,eta,max_eval,init_eval,init_size,num_trial
uni,,100.0,500,1.0,,0.9,2.0,,,,,,,
uni,,100.0,500,1.0,,0.7,2.0,,,,,,,
uni,,100.0,500,1.0,,0.5,2.0,,,,,,,
uni,,100.0,500,1.0,,0.2,2.0,,,,,,,
uni,,100.0,500,5.0,,0.9,2.0,,,,,,,
uni,,100.0,500,5.0,,0.7,2.0,,,,,,,
uni,,100.0,500,5.0,,0.5,2.0,,,,,,,
uni,,100.0,500,5.0,,0.2,2.0,,,,,,,
uni,,100.0,500,10.0,,0.9,2.0,,,,,,,
uni,,100.0,500,10.0,,0.7,2.0,,,,,,,
uni,,100.0,500,10.0,,0.5,2.0,,,,,,,
uni,,100.0,500,10.0,,0.2,2.0,,,,,,,
uni,,100.0,500,15.0,,0.9,2.0,,,,,,,
uni,,100.0,500,15.0,,0.7,2.0,,,,,,,
uni,,100.0,500,15.0,,0.5,2.0,,,,,,,
uni,,100.0,500,15.0,,0.2,2.0,,,,,,,
uni,,100.0,500,20.0,,0.9,2.0,,,,,,,
uni,,100.0,500,20.0,,0.7,2.0,,,,,,,
uni,,100.0,500,20.0,,0.5,2.0,,,,,,,
uni,,100.0,500,20.0,,0.2,2.0,,,,,,,
uni,,100.0,500,25.0,,0.9,2.0,,,,,,,
uni,,100.0,500,25.0,,0.7,2.0,,,,,,,
uni,,100.0,500,25.0,,0.5,2.0,,,,,,,
uni,,100.0,500,25.0,,0.2,2.0,,,,,,,
uni,,100.0,500,30.0,,0.9,2.0,,,,,,,
uni,,100.0,500,30.0,,0.7,2.0,,,,,,,
uni,,100.0,500,30.0,,0.5,2.0,,,,,,,
uni,,100.0,500,30.0,,0.2,2.0,,,,,,,
uni,,100.0,500,50.0,,0.9,2.0,,,,,,,
uni,,100.0,500,50.0,,0.7,2.0,,,,,,,
uni,,100.0,500,50.0,,0.5,2.0,,,,,,,
uni,,100.0,500,50.0,,0.2,2.0,,,,,,,
