attack,confidence,max_iter,batch_size,epsilon,epsilon_step,delta,norm,theta,gamma,eta,max_eval,init_eval,init_size,num_trial,max_trasl,max_rot
uni,,100.0,500,0.1,,0.9,inf,,,,,,,,,
uni,,100.0,500,0.1,,0.7,inf,,,,,,,,,
uni,,100.0,500,0.1,,0.5,inf,,,,,,,,,
uni,,100.0,500,0.1,,0.2,inf,,,,,,,,,
uni,,100.0,500,0.4,,0.9,inf,,,,,,,,,
uni,,100.0,500,0.4,,0.7,inf,,,,,,,,,
uni,,100.0,500,0.4,,0.5,inf,,,,,,,,,
uni,,100.0,500,0.4,,0.2,inf,,,,,,,,,
uni,,100.0,500,0.7,,0.9,inf,,,,,,,,,
uni,,100.0,500,0.7,,0.7,inf,,,,,,,,,
uni,,100.0,500,0.7,,0.5,inf,,,,,,,,,
uni,,100.0,500,0.7,,0.2,inf,,,,,,,,,
uni,,100.0,500,1.0,,0.9,inf,,,,,,,,,
uni,,100.0,500,1.0,,0.7,inf,,,,,,,,,
uni,,100.0,500,1.0,,0.5,inf,,,,,,,,,
uni,,100.0,500,1.0,,0.2,inf,,,,,,,,,
uni,,100.0,500,5.0,,0.9,inf,,,,,,,,,
uni,,100.0,500,5.0,,0.7,inf,,,,,,,,,
uni,,100.0,500,5.0,,0.5,inf,,,,,,,,,
uni,,100.0,500,5.0,,0.2,inf,,,,,,,,,
uni,,100.0,500,10.0,,0.9,inf,,,,,,,,,
uni,,100.0,500,10.0,,0.7,inf,,,,,,,,,
uni,,100.0,500,10.0,,0.5,inf,,,,,,,,,
uni,,100.0,500,10.0,,0.2,inf,,,,,,,,,
uni,,100.0,500,15.0,,0.9,inf,,,,,,,,,
uni,,100.0,500,15.0,,0.7,inf,,,,,,,,,
uni,,100.0,500,15.0,,0.5,inf,,,,,,,,,
uni,,100.0,500,15.0,,0.2,inf,,,,,,,,,
uni,,100.0,500,20.0,,0.9,inf,,,,,,,,,
uni,,100.0,500,20.0,,0.7,inf,,,,,,,,,
uni,,100.0,500,20.0,,0.5,inf,,,,,,,,,
uni,,100.0,500,20.0,,0.2,inf,,,,,,,,,
