attack,confidence,max_iter,batch_size,epsilon,epsilon_step,delta,norm,theta,gamma,eta,max_eval,init_eval,init_size,num_trial
uni,,100.0,500,0.1,,1.9,inf,,,,,,,
uni,,100.0,500,0.1,,1.7,inf,,,,,,,
uni,,100.0,500,0.1,,1.5,inf,,,,,,,
uni,,100.0,500,0.1,,1.2,inf,,,,,,,
uni,,100.0,500,0.4,,1.9,inf,,,,,,,
uni,,100.0,500,0.4,,1.7,inf,,,,,,,
uni,,100.0,500,0.4,,1.5,inf,,,,,,,
uni,,100.0,500,0.4,,1.2,inf,,,,,,,
uni,,100.0,500,0.7,,1.9,inf,,,,,,,
uni,,100.0,500,0.7,,1.7,inf,,,,,,,
uni,,100.0,500,0.7,,1.5,inf,,,,,,,
uni,,100.0,500,0.7,,1.2,inf,,,,,,,
uni,,100.0,500,1.0,,1.9,inf,,,,,,,
uni,,100.0,500,1.0,,1.7,inf,,,,,,,
uni,,100.0,500,1.0,,1.5,inf,,,,,,,
uni,,100.0,500,1.0,,1.2,inf,,,,,,,
uni,,100.0,500,5.0,,1.9,inf,,,,,,,
uni,,100.0,500,5.0,,1.7,inf,,,,,,,
uni,,100.0,500,5.0,,1.5,inf,,,,,,,
uni,,100.0,500,5.0,,1.2,inf,,,,,,,
uni,,100.0,500,10.0,,1.9,inf,,,,,,,
uni,,100.0,500,10.0,,1.7,inf,,,,,,,
uni,,100.0,500,10.0,,1.5,inf,,,,,,,
uni,,100.0,500,10.0,,1.2,inf,,,,,,,
uni,,100.0,500,15.0,,1.9,inf,,,,,,,
uni,,100.0,500,15.0,,1.7,inf,,,,,,,
uni,,100.0,500,15.0,,1.5,inf,,,,,,,
uni,,100.0,500,15.0,,1.2,inf,,,,,,,
uni,,100.0,500,20.0,,1.9,inf,,,,,,,
uni,,100.0,500,20.0,,1.7,inf,,,,,,,
uni,,100.0,500,20.0,,1.5,inf,,,,,,,
uni,,100.0,500,20.0,,1.2,inf,,,,,,,
