attack,is_succ,confidence,max_iter,batch_size,epsilon,epsilon_step,delta,norm,theta,gamma,eta,max_eval,init_eval,init_size,num_trial,max_trasl,max_rot,file_name,csv_name,dataset_name,model_name,x_test_size,correct_size,adv_size,success_rate,second_image,avg_l2,avg_l1,avg_linf,avg_l0,avg_mse,avg_uqi,avg_ergas,avg_sam,avg_scc,avg_vifp,avg_rase,avg_psnrb
pgd,True,,1e+02,500,0.1,,,,,,,,,,,,,pgd0.1100_succ,gen_list_pgd,cifar,conv12,100,85,85,1.0,1.4975866866111756,4.187736635154956,211.58150820495726,0.10000005341731143,36.141176470588235,0.0057159198619937505,0.977784049920927,8730.67158412718,0.15596817294541662,0.49995750544425915,0.937415132055513,1256.591405842417,22.25555756248833
pgd,False,,100.0,500,0.1,,,,,,,,,,,,,pgd0.1100_miss,gen_list_pgd,cifar,conv12,100,85,0,1.0,1.4975866866111756,0.0,0.0,0.0,0.0,,,,,,,,22.25555756248833
pgd,True,,100.0,500,0.03,,,,,,,,,,,,,pgd0.03100_succ,gen_list_pgd,cifar,conv12,100,85,85,1.0,0.41647021532058714,1.403347402255729,73.37708519634491,0.03000001590282173,36.141176470588235,0.0006416578275644214,0.9968483679694041,2947.9837721385716,0.052846508770083005,0.8076954413288937,0.9837547243086732,424.4466031305758,30.812072080680718
pgd,False,,100.0,500,0.03,,,,,,,,,,,,,pgd0.03100_miss,gen_list_pgd,cifar,conv12,100,85,0,1.0,0.41647021532058714,0.0,0.0,0.0,0.0,,,,,,,,30.812072080680718
pgd,True,,100.0,500,0.05,,,,,,,,,,,,,pgd0.05100_succ,gen_list_pgd,cifar,conv12,100,85,85,1.0,0.4199943399429321,2.246612097516702,115.65772938400931,0.05000004153763135,36.141176470588235,0.0016445792088487696,0.9926259602433275,4704.205248953458,0.08448772686665626,0.6926186112829575,0.968772819967913,677.2257141342817,27.26120648878423
pgd,False,,100.0,500,0.05,,,,,,,,,,,,,pgd0.05100_miss,gen_list_pgd,cifar,conv12,100,85,0,1.0,0.4199943399429321,0.0,0.0,0.0,0.0,,,,,,,,27.26120648878423
pgd,True,,100.0,500,0.07,,,,,,,,,,,,,pgd0.07100_succ,gen_list_pgd,cifar,conv12,100,85,85,1.0,0.4160991454124451,3.036132372940493,154.72957164825354,0.07000002665503198,36.141176470588235,0.0030038177802086783,0.9873753606999737,6344.400572940875,0.1137877116736667,0.6042110257869641,0.9569647230431928,913.2662582663846,24.895530489268104
pgd,False,,100.0,500,0.07,,,,,,,,,,,,,pgd0.07100_miss,gen_list_pgd,cifar,conv12,100,85,0,1.0,0.4160991454124451,0.0,0.0,0.0,0.0,,,,,,,,24.895530489268104
pgd,True,,100.0,500,0.09,,,,,,,,,,,,,pgd0.09100_succ,gen_list_pgd,cifar,conv12,100,85,85,1.0,0.39722351789474486,3.8260922711594563,193.7090174406006,0.0900000625718149,36.129411764705885,0.004770269109531993,0.9811518142854561,7956.876087975624,0.14264446709582507,0.529251945245674,0.9427601597541532,1145.2893494918367,23.015569992389036
pgd,False,,100.0,500,0.09,,,,,,,,,,,,,pgd0.09100_miss,gen_list_pgd,cifar,conv12,100,85,0,1.0,0.39722351789474486,0.0,0.0,0.0,0.0,,,,,,,,23.015569992389036
pgd,True,,100.0,500,1.0,,,,,,,,,,,,,pgd1.0100_succ,gen_list_pgd,cifar,conv12,100,85,85,1.0,0.4242083406448364,25.397587765847703,1184.5524737693415,0.969633182043847,36.141176470588235,0.21133649712498273,0.6295131286059754,53959.12798955366,0.7711490484903414,0.016484930248705624,0.08247670634374121,7775.536093324618,6.866287919563808
pgd,False,,100.0,500,1.0,,,,,,,,,,,,,pgd1.0100_miss,gen_list_pgd,cifar,conv12,100,85,0,1.0,0.4242083406448364,0.0,0.0,0.0,0.0,,,,,,,,6.866287919563808
