attack,is_succ,confidence,max_iter,batch_size,epsilon,epsilon_step,delta,norm,theta,gamma,eta,max_eval,init_eval,init_size,num_trial,max_trasl,max_rot,file_name,csv_name,dataset_name,model_name,x_test_size,correct_size,adv_size,success_rate,second_image,avg_l2,avg_l1,avg_linf,avg_l0,avg_mse,avg_uqi,avg_ergas,avg_sam,avg_scc,avg_vifp,avg_rase,avg_psnrb
boundary,True,,5000,500,"0,01",,0.01,,,,,,,,25,,,boundary50000.010.0125_succ,gen_list_boundary,cifar,resnet50,100,90,74,0.8222222222222222,230.5277791070938,0.08176779210558073,3.0226599576497954,0.013849159956662447,41.513513513513516,3.192768744713653e-06,0.9999812620868951,185.2216006535534,0.0030292905654538973,0.9953289742713659,0.9995234062313285,26.708462725977757,54.33617407324237
boundary,False,,5000,500,0.01,,0.01,,,,,,,,25,,,boundary50000.010.0125_miss,gen_list_boundary,cifar,resnet50,100,90,16,0.8222222222222222,230.5277791070938,0.03925659267104568,1.419203451946337,0.006603841236153364,192.0,1.8196178795540655e-06,0.9999961942684541,64.52140714112815,0.0011392751119690164,0.997296209095563,0.9998444370361556,9.319270390433156,54.33617407324237
boundary,True,,4500,500,0.01,,0.01,,,,,,,,25,,,boundary45000.010.0125_succ,gen_list_boundary,cifar,resnet50,100,90,78,0.8666666666666667,209.81298315286637,0.08161814320156956,3.0202051073157983,0.013859130047863863,39.38461538461539,3.043411066288345e-06,0.9999809177355428,182.29486329711887,0.0029655101619831857,0.9952593268233523,0.9996033346227358,26.294533391543354,54.117138701004755
boundary,False,,4500,500,0.01,,0.01,,,,,,,,25,,,boundary45000.010.0125_miss,gen_list_boundary,cifar,resnet50,100,90,12,0.8666666666666667,209.81298315286637,0.03980564974433199,1.4975524424516875,0.007819681578114924,256.0,2.0163676503599217e-06,0.9999927126797795,83.04287633377108,0.00133475911271909,0.9994359991738646,0.9998345413041417,11.973338566377842,54.117138701004755
boundary,True,,4000,500,0.01,,0.01,,,,,,,,25,,,boundary40000.010.0125_succ,gen_list_boundary,cifar,resnet50,100,90,80,0.8888888888888888,201.45827670335768,0.08529173645567818,3.174444048235197,0.01468995046176418,38.3875,3.5549356713215383e-06,0.9999784744630084,190.5524654354304,0.0031067742201976224,0.994878202882602,0.9995970822874198,27.48588667344503,53.280924016277496
boundary,False,,4000,500,0.01,,0.01,,,,,,,,25,,,boundary40000.010.0125_miss,gen_list_boundary,cifar,resnet50,100,90,10,0.8888888888888888,201.45827670335768,0.008808210084710446,0.32431130418882587,0.0013604501766317056,307.2,1.404877302749218e-07,0.9999987332780588,22.61575888019295,0.0002966213244096748,0.9999491175766533,1.0000026451987225,3.2619584695755903,53.280924016277496
boundary,True,,3500,500,0.01,,0.01,,,,,,,,25,,,boundary35000.010.0125_succ,gen_list_boundary,cifar,resnet50,100,90,76,0.8444444444444444,181.20483225822449,0.09026475025143052,3.429012794129723,0.014828529271467276,40.4078947368421,3.965672826732679e-06,0.9999787043482616,199.2745419972146,0.00327973628108538,0.9942371617571941,0.9994950926472645,28.72709886789944,53.10586993105104
boundary,False,,3500,500,0.01,,0.01,,,,,,,,25,,,boundary35000.010.0125_miss,gen_list_boundary,cifar,resnet50,100,90,14,0.8444444444444444,181.20483225822449,0.031490405293442346,1.2062497878203249,0.004701072628758534,219.42857142857142,7.991009922243736e-07,0.9999967932429075,62.89584017783467,0.0010576268169250355,0.9992599291070439,0.9999135141034217,9.084278172972452,53.10586993105104
boundary,True,,3000,500,0.01,,0.01,,,,,,,,25,,,boundary30000.010.0125_succ,gen_list_boundary,cifar,resnet50,100,90,79,0.8777777777777778,160.17361445665358,0.09393849092281428,3.6526592221921828,0.014488896649986408,38.88607594936709,4.3824344000185085e-06,0.9999784246509361,202.65536045060654,0.003334660770788362,0.9931875495348095,0.9993999747034416,29.219264816190407,52.696090984135445
boundary,False,,3000,500,0.01,,0.01,,,,,,,,25,,,boundary30000.010.0125_miss,gen_list_boundary,cifar,resnet50,100,90,11,0.8777777777777778,160.17361445665358,0.021603415218011346,0.8711734083786177,0.0025405141865293412,279.27272727272725,7.143480782585063e-07,0.9999972565314711,46.307709393887485,0.0008118770668140437,0.9956189544729697,0.9998906014418666,6.701921303028402,52.696090984135445
boundary,True,,2500,500,0.01,,0.01,,,,,,,,25,,,boundary25000.010.0125_succ,gen_list_boundary,cifar,resnet50,100,90,80,0.8888888888888888,134.23189363002777,0.09157102521870848,3.623878816704199,0.013559331966851676,38.4,4.143562140486164e-06,0.9999787011733773,200.76970602965613,0.0033136158832410756,0.9941647459794989,0.9995010825078232,28.951911005197054,52.69601651864908
boundary,False,,2500,500,0.01,,0.01,,,,,,,,25,,,boundary25000.010.0125_miss,gen_list_boundary,cifar,resnet50,100,90,10,0.8888888888888888,134.23189363002777,0.025471815685659187,1.0735688143040902,0.0027401368992001464,307.2,1.2755731778655708e-06,0.9999965688228553,49.066627276074236,0.0009486451142286469,0.9877594430283543,0.9995954955343531,7.087244512881989,52.69601651864908
