attack,is_succ,confidence,max_iter,batch_size,epsilon,epsilon_step,delta,norm,theta,gamma,eta,max_eval,init_eval,init_size,num_trial,max_trasl,max_rot,file_name,csv_name,dataset_name,model_name,x_test_size,correct_size,adv_size,success_rate,second_image,avg_l2,avg_l1,avg_linf,avg_l0,avg_mse,avg_uqi,avg_ergas,avg_sam,avg_scc,avg_vifp,avg_rase,avg_psnrb
jsma,True,,,500,,,,,"0,1",1.0,,,,,,,,jsma0.11.0_succ,gen_list_jsma,cifar,resnet50,100,90,90,1.0,7.612217679023742,1.30693673238172,14.20439135437266,0.32442271205334894,34.12222222222222,0.0006818133568961312,0.9954338869548637,,0.041420972507739316,0.9212923555898178,0.9895616666114907,,47.5847025866892
jsma,False,,,500,,,,,0.1,1.0,,,,,,,,jsma0.11.0_miss,gen_list_jsma,cifar,resnet50,100,90,0,1.0,7.612217679023742,0.0,0.0,0.0,0.0,,,,,,,,47.5847025866892
jsma,True,,,500,,,,,0.1,0.8,,,,,,,,jsma0.10.8_succ,gen_list_jsma,cifar,resnet50,100,90,90,1.0,14.698771297931671,1.6842641963913874,22.4050457046352,0.34633992307456235,34.12222222222222,0.0012637199996400597,0.9935140018764526,,0.05005147765359545,0.8969149387694834,0.978484706316113,,39.99279708114131
jsma,False,,,500,,,,,0.1,0.8,,,,,,,,jsma0.10.8_miss,gen_list_jsma,cifar,resnet50,100,90,0,1.0,14.698771297931671,0.0,0.0,0.0,0.0,,,,,,,,39.99279708114131
jsma,True,,,500,,,,,0.1,0.6,,,,,,,,jsma0.10.6_succ,gen_list_jsma,cifar,resnet50,100,90,90,1.0,12.510065407752991,1.5678672817211454,19.99415224974099,0.35655779452884895,34.12222222222222,0.0010213943681258812,0.993474656066912,,0.049030422802081586,0.9020533192102422,0.9840035805424862,,48.01878898318013
jsma,False,,,500,,,,,0.1,0.6,,,,,,,,jsma0.10.6_miss,gen_list_jsma,cifar,resnet50,100,90,0,1.0,12.510065407752991,0.0,0.0,0.0,0.0,,,,,,,,48.01878898318013
jsma,True,,,500,,,,,0.1,0.4,,,,,,,,jsma0.10.4_succ,gen_list_jsma,cifar,resnet50,100,90,90,1.0,8.055037763118744,1.2371331768188056,13.538356620418462,0.32102402082455705,34.12222222222222,0.0006281037902939779,0.996136652976704,2631.010320845755,0.038947444041330596,0.9235170319438298,0.9912433255088492,379.5768899530743,49.06274660360629
jsma,False,,,500,,,,,0.1,0.4,,,,,,,,jsma0.10.4_miss,gen_list_jsma,cifar,resnet50,100,90,0,1.0,8.055037763118744,0.0,0.0,0.0,0.0,,,,,,,,49.06274660360629
jsma,True,,,500,,,,,0.1,0.2,,,,,,,,jsma0.10.2_succ,gen_list_jsma,cifar,resnet50,100,90,90,1.0,11.75032232761383,1.525749808616067,18.92016528710157,0.3518301199029214,34.12222222222222,0.0009917175191142254,0.9935095165563513,,0.0486670258672342,0.9107999975864739,0.989861124665969,,43.404493091838305
jsma,False,,,500,,,,,0.1,0.2,,,,,,,,jsma0.10.2_miss,gen_list_jsma,cifar,resnet50,100,90,0,1.0,11.75032232761383,0.0,0.0,0.0,0.0,,,,,,,,43.404493091838305
jsma,True,,,500,,,,,0.2,0.8,,,,,,,,jsma0.20.8_succ,gen_list_jsma,cifar,resnet50,100,90,90,1.0,13.240419626235962,2.759861901997189,39.337985368268086,0.4974727800235251,34.12222222222222,0.003122041188213592,0.9824458685581807,,0.08531048965138778,0.8037949755931347,0.9769173846618386,,45.890356019671465
jsma,False,,,500,,,,,0.2,0.8,,,,,,,,jsma0.20.8_miss,gen_list_jsma,cifar,resnet50,100,90,0,1.0,13.240419626235962,0.0,0.0,0.0,0.0,,,,,,,,45.890356019671465
jsma,True,,,500,,,,,0.2,0.6,,,,,,,,jsma0.20.6_succ,gen_list_jsma,cifar,resnet50,100,90,90,1.0,17.35326903104782,3.2006417248799512,51.70168894777544,0.5320261560039583,34.12222222222222,0.004436192658300995,0.977187357923809,,0.09608080458371554,0.7813079600335819,0.9829204213170037,,43.45429145013671
jsma,False,,,500,,,,,0.2,0.6,,,,,,,,jsma0.20.6_miss,gen_list_jsma,cifar,resnet50,100,90,0,1.0,17.35326903104782,0.0,0.0,0.0,0.0,,,,,,,,43.45429145013671
jsma,True,,,500,,,,,0.2,0.4,,,,,,,,jsma0.20.4_succ,gen_list_jsma,cifar,resnet50,100,90,90,1.0,18.05375457763672,3.170947249650624,49.89785454178905,0.5441394447825831,34.12222222222222,0.004035099703591916,0.9800956228150994,,0.09353484440215273,0.7764577868862217,0.9773558220010092,,37.31728469840565
jsma,False,,,500,,,,,0.2,0.4,,,,,,,,jsma0.20.4_miss,gen_list_jsma,cifar,resnet50,100,90,0,1.0,18.05375457763672,0.0,0.0,0.0,0.0,,,,,,,,37.31728469840565
jsma,True,,,500,,,,,0.2,0.2,,,,,,,,jsma0.20.2_succ,gen_list_jsma,cifar,resnet50,100,90,90,1.0,20.840291061401366,3.655508648244168,61.1076152683531,0.57150327886891,34.12222222222222,0.005127571156557262,0.9723754087140617,,0.1105609274229032,0.7414564000229221,0.9787848549252851,,34.69323570128115
jsma,False,,,500,,,,,0.2,0.2,,,,,,,,jsma0.20.2_miss,gen_list_jsma,cifar,resnet50,100,90,0,1.0,20.840291061401366,0.0,0.0,0.0,0.0,,,,,,,,34.69323570128115
jsma,True,,,500,,,,,0.4,1.0,,,,,,,,jsma0.41.0_succ,gen_list_jsma,cifar,resnet50,100,90,90,1.0,43.17023708105087,8.669396843090114,224.747482680383,0.766013089280762,34.12222222222222,0.035452959415870164,0.8913767734926126,,0.21337201865023786,0.5359868518772597,0.8886652857225887,,34.81523573015576
jsma,False,,,500,,,,,0.4,1.0,,,,,,,,jsma0.41.0_miss,gen_list_jsma,cifar,resnet50,100,90,0,1.0,43.17023708105087,0.0,0.0,0.0,0.0,,,,,,,,34.81523573015576
jsma,True,,,500,,,,,0.4,0.8,,,,,,,,jsma0.40.8_succ,gen_list_jsma,cifar,resnet50,100,90,90,1.0,60.6968642783165,10.35965732663984,328.8770651119953,0.7718082945019589,34.12222222222222,0.05378155812806558,0.8741081967099192,,0.2226971798416507,0.48855915792559185,0.8330246841811263,,28.763432126552203
jsma,False,,,500,,,,,0.4,0.8,,,,,,,,jsma0.40.8_miss,gen_list_jsma,cifar,resnet50,100,90,0,1.0,60.6968642783165,0.0,0.0,0.0,0.0,,,,,,,,28.763432126552203
jsma,True,,,500,,,,,0.4,0.6,,,,,,,,jsma0.40.6_succ,gen_list_jsma,cifar,resnet50,100,90,90,1.0,39.46772236585617,8.733322807228072,237.2690502482762,0.7401743128564622,34.12222222222222,0.0370891227830595,0.8892753588603742,,0.20915424316406567,0.5451024417251277,0.8837080834028437,,31.659014643516613
jsma,False,,,500,,,,,0.4,0.6,,,,,,,,jsma0.40.6_miss,gen_list_jsma,cifar,resnet50,100,90,0,1.0,39.46772236585617,0.0,0.0,0.0,0.0,,,,,,,,31.659014643516613
