,attack_train,attack_test
0,bim,fgm
1,bim,deep
2,bim,cw2
3,bim,boundary
4,bim,elastic
5,bim,newton
6,bim,pgd
7,bim,zoo
8,bim,hopskip
9,bim,jsma
10,bim,uni
11,fgm,bim
12,fgm,deep
13,fgm,cw2
14,fgm,boundary
15,fgm,elastic
16,fgm,newton
17,fgm,pgd
18,fgm,zoo
19,fgm,hopskip
20,fgm,jsma
21,fgm,uni
22,deep,bim
23,deep,fgm
24,deep,cw2
25,deep,boundary
26,deep,elastic
27,deep,newton
28,deep,pgd
29,deep,zoo
30,deep,hopskip
31,deep,jsma
32,deep,uni
33,cw2,bim
34,cw2,fgm
35,cw2,deep
36,cw2,boundary
37,cw2,elastic
38,cw2,newton
39,cw2,pgd
40,cw2,zoo
41,cw2,hopskip
42,cw2,jsma
43,cw2,uni
44,boundary,bim
45,boundary,fgm
46,boundary,deep
47,boundary,cw2
48,boundary,elastic
49,boundary,newton
50,boundary,pgd
51,boundary,zoo
52,boundary,hopskip
53,boundary,jsma
54,boundary,uni
55,elastic,bim
56,elastic,fgm
57,elastic,deep
58,elastic,cw2
59,elastic,boundary
60,elastic,newton
61,elastic,pgd
62,elastic,zoo
63,elastic,hopskip
64,elastic,jsma
65,elastic,uni
66,newton,bim
67,newton,fgm
68,newton,deep
69,newton,cw2
70,newton,boundary
71,newton,elastic
72,newton,pgd
73,newton,zoo
74,newton,hopskip
75,newton,jsma
76,newton,uni
77,pgd,bim
78,pgd,fgm
79,pgd,deep
80,pgd,cw2
81,pgd,boundary
82,pgd,elastic
83,pgd,newton
84,pgd,zoo
85,pgd,hopskip
86,pgd,jsma
87,pgd,uni
88,zoo,bim
89,zoo,fgm
90,zoo,deep
91,zoo,cw2
92,zoo,boundary
93,zoo,elastic
94,zoo,newton
95,zoo,pgd
96,zoo,hopskip
97,zoo,jsma
98,zoo,uni
99,hopskip,bim
100,hopskip,fgm
101,hopskip,deep
102,hopskip,cw2
103,hopskip,boundary
104,hopskip,elastic
105,hopskip,newton
106,hopskip,pgd
107,hopskip,zoo
108,hopskip,jsma
109,hopskip,uni
110,jsma,bim
111,jsma,fgm
112,jsma,deep
113,jsma,cw2
114,jsma,boundary
115,jsma,elastic
116,jsma,newton
117,jsma,pgd
118,jsma,zoo
119,jsma,hopskip
120,jsma,uni
121,uni,bim
122,uni,fgm
123,uni,deep
124,uni,cw2
125,uni,boundary
126,uni,elastic
127,uni,newton
128,uni,pgd
129,uni,zoo
130,uni,hopskip
131,uni,jsma
